FIPS,State,County,pctFoodInsecure,numFoodInsecure,pctBlackFoodInsecure,pctLatineFoodInsecure,pctWhiteFoodInsecure,SNAPthreshold,pctFIbelowSNAP,pctFIaboveSNAP,pctKidsFoodInsecure,numKidsFoodInsecure,pctKidsIncomeBelow185,pctKidsIncomeAbove185,costPerMeal,weeklyFoodBudget,weeklyBudgetFoodInsecureByPop,rangeRuralUrban,USstateRegion
1001,AL,Autauga County,0.157,8670.0,0.26,,0.12,1.3,0.486,0.514,0.196,2590.0,0.69,0.31,3.0,16.88,4439000.0,2.0,South
1003,AL,Baldwin County,0.134,28590.0,0.26,0.1,0.11,1.3,0.391,0.609,0.144,6680.0,0.79,0.21,3.66,20.63,17895000.0,3.0,South
1005,AL,Barbour County,0.207,5250.0,0.34,,0.14,1.3,0.663,0.337,0.324,1720.0,0.72,0.28,3.11,17.51,2788000.0,6.0,South
1007,AL,Bibb County,0.163,3680.0,0.28,,0.14,1.3,0.478,0.522,0.218,1010.0,0.89,0.11,2.96,16.68,1861000.0,1.0,South
1009,AL,Blount County,0.145,8380.0,0.14,0.11,0.12,1.3,0.462,0.538,0.154,2060.0,1.0,0.0,3.04,17.14,4357000.0,1.0,South
1011,AL,Bullock County,0.157,1610.0,0.26,,,1.3,0.647,0.353,0.317,670.0,0.51,0.49,3.3,18.61,909000.0,6.0,South
1013,AL,Butler County,0.165,3280.0,0.28,,0.12,1.3,0.662,0.338,0.256,1140.0,0.76,0.24,3.17,17.88,1779000.0,6.0,South
1015,AL,Calhoun County,0.172,19660.0,0.29,0.14,0.14,1.3,0.559,0.441,0.226,5630.0,0.84,0.17,2.98,16.77,10000000.0,3.0,South
1017,AL,Chambers County,0.154,5190.0,0.22,,0.14,1.3,0.59,0.41,0.223,1570.0,0.82,0.18,2.96,16.66,2622000.0,6.0,South
1019,AL,Cherokee County,0.161,4170.0,0.21,,0.13,1.3,0.552,0.448,0.168,880.0,0.97,0.03,3.03,17.05,2157000.0,6.0,South
1021,AL,Chilton County,0.172,7590.0,0.25,0.15,0.15,1.3,0.57,0.43,0.194,2060.0,1.0,0.0,3.02,17.03,3920000.0,1.0,South
1023,AL,Choctaw County,0.189,2440.0,0.29,,0.12,1.3,0.62,0.38,0.301,780.0,0.72,0.28,3.02,17.02,1260000.0,9.0,South
1025,AL,Clarke County,0.186,4490.0,0.33,,0.14,1.3,0.612,0.388,0.254,1340.0,0.66,0.34,2.95,16.62,2264000.0,7.0,South
1027,AL,Clay County,0.165,2200.0,0.27,,0.13,1.3,0.554,0.446,0.204,570.0,1.0,0.0,3.09,17.44,1164000.0,9.0,South
1029,AL,Cleburne County,0.182,2710.0,,,0.15,1.3,0.478,0.522,0.218,740.0,0.98,0.02,3.02,17.02,1399000.0,8.0,South
1031,AL,Coffee County,0.157,8130.0,0.28,0.11,0.12,1.3,0.478,0.522,0.2,2450.0,0.8,0.2,3.49,19.65,4847000.0,4.0,South
1033,AL,Colbert County,0.165,9040.0,0.25,0.12,0.13,1.3,0.46,0.54,0.199,2300.0,0.86,0.14,2.83,15.97,4379000.0,3.0,South
1035,AL,Conecuh County,0.16,1990.0,0.24,,0.16,1.3,0.61,0.39,0.259,680.0,0.85,0.15,2.97,16.72,1009000.0,7.0,South
1037,AL,Coosa County,0.15,1620.0,0.23,,0.11,1.3,0.523,0.477,0.224,400.0,0.73,0.27,3.3,18.61,914000.0,8.0,South
1039,AL,Covington County,0.181,6730.0,0.34,,0.15,1.3,0.517,0.483,0.234,1910.0,0.85,0.16,3.0,16.92,3455000.0,6.0,South
1041,AL,Crenshaw County,0.155,2150.0,0.24,,0.12,1.3,0.56,0.44,0.202,630.0,0.92,0.08,3.28,18.5,1207000.0,8.0,South
1043,AL,Cullman County,0.164,13610.0,0.21,0.12,0.14,1.3,0.45,0.55,0.174,3260.0,0.96,0.04,3.11,17.5,7226000.0,4.0,South
1045,AL,Dale County,0.178,8790.0,0.31,0.09,0.15,1.3,0.536,0.464,0.232,2640.0,0.88,0.12,3.21,18.12,4830000.0,4.0,South
1047,AL,Dallas County,0.19,7430.0,0.32,,0.12,1.3,0.764,0.236,0.333,3140.0,0.6,0.4,3.16,17.81,4014000.0,4.0,South
1049,AL,DeKalb County,0.172,12300.0,0.25,0.16,0.14,1.3,0.602,0.398,0.194,3390.0,1.0,0.0,3.06,17.26,6439000.0,6.0,South
1051,AL,Elmore County,0.139,11280.0,0.24,0.15,0.11,1.3,0.408,0.592,0.167,3040.0,0.74,0.26,3.4,19.18,6563000.0,2.0,South
1053,AL,Escambia County,0.177,6570.0,0.34,,0.15,1.3,0.59,0.41,0.242,2000.0,0.85,0.16,2.99,16.82,3353000.0,6.0,South
1055,AL,Etowah County,0.168,17250.0,0.27,0.15,0.14,1.3,0.534,0.466,0.224,4960.0,0.87,0.13,3.0,16.92,8851000.0,3.0,South
1057,AL,Fayette County,0.188,3090.0,0.31,,0.15,1.3,0.57,0.43,0.236,820.0,0.92,0.08,3.21,18.1,1697000.0,6.0,South
