State,"County, State",pctFoodInsecure,numFoodInsecure,pctBlackFoodInsecure,pctLatineFoodInsecure,pctWhiteFoodInsecure,SNAPthreshold,pctFIbelowSNAP,pctFIaboveSNAP,pctKidsFoodInsecure,numKidsFoodInsecure,pctKidsIncomeBelow185,pctKidsIncomeAbove185,costPerMeal,weeklyFoodBudget,weeklyBudgetFoodInsecureByPop,rangeRuralUrban,USstateRegion
AL,"Autauga County, Alabama",15.7,8670,26.0,,12.0,130,49,51,19.6,2590,69,31,3.0,16.88,4439000,2,Southeast
AL,"Baldwin County, Alabama",13.4,28590,26.0,10.0,11.0,130,39,61,14.4,6680,79,21,3.66,20.63,17895000,3,Southeast
AL,"Barbour County, Alabama",20.7,5250,34.0,,14.0,130,66,34,32.4,1720,72,28,3.11,17.51,2788000,6,Southeast
AL,"Bibb County, Alabama",16.3,3680,28.0,,14.0,130,48,52,21.8,1010,89,11,2.96,16.68,1861000,1,Southeast
AL,"Blount County, Alabama",14.5,8380,14.0,11.0,12.0,130,46,54,15.4,2060,100,0,3.04,17.14,4357000,1,Southeast
AL,"Bullock County, Alabama",15.7,1610,26.0,,,130,65,35,31.7,670,51,49,3.3,18.61,909000,6,Southeast
AL,"Butler County, Alabama",16.5,3280,28.0,,12.0,130,66,34,25.6,1140,76,24,3.17,17.88,1779000,6,Southeast
AL,"Calhoun County, Alabama",17.2,19660,29.0,14.0,14.0,130,56,44,22.6,5630,84,17,2.98,16.77,10000000,3,Southeast
AL,"Chambers County, Alabama",15.4,5190,22.0,,14.0,130,59,41,22.3,1570,82,18,2.96,16.66,2622000,6,Southeast
AL,"Cherokee County, Alabama",16.1,4170,21.0,,13.0,130,55,45,16.8,880,97,3,3.03,17.05,2157000,6,Southeast
AL,"Chilton County, Alabama",17.2,7590,25.0,15.0,15.0,130,57,43,19.4,2060,100,0,3.02,17.03,3920000,1,Southeast
AL,"Choctaw County, Alabama",18.9,2440,29.0,,12.0,130,62,38,30.1,780,72,28,3.02,17.02,1260000,9,Southeast
AL,"Clarke County, Alabama",18.6,4490,33.0,,14.0,130,61,39,25.4,1340,66,34,2.95,16.62,2264000,7,Southeast
AL,"Clay County, Alabama",16.5,2200,27.0,,13.0,130,55,45,20.4,570,100,0,3.09,17.44,1164000,9,Southeast
AL,"Cleburne County, Alabama",18.2,2710,,,15.0,130,48,52,21.8,740,98,2,3.02,17.02,1399000,8,Southeast
AL,"Coffee County, Alabama",15.7,8130,28.0,11.0,12.0,130,48,52,20.0,2450,80,20,3.49,19.65,4847000,4,Southeast
AL,"Colbert County, Alabama",16.5,9040,25.0,12.0,13.0,130,46,54,19.9,2300,86,14,2.83,15.97,4379000,3,Southeast
AL,"Conecuh County, Alabama",16.0,1990,24.0,,16.0,130,61,39,25.9,680,85,15,2.97,16.72,1009000,7,Southeast
AL,"Coosa County, Alabama",15.0,1620,23.0,,11.0,130,52,48,22.4,400,73,27,3.3,18.61,914000,8,Southeast
AL,"Covington County, Alabama",18.1,6730,34.0,,15.0,130,52,48,23.4,1910,85,16,3.0,16.92,3455000,6,Southeast
AL,"Crenshaw County, Alabama",15.5,2150,24.0,,12.0,130,56,44,20.2,630,92,8,3.28,18.5,1207000,8,Southeast
AL,"Cullman County, Alabama",16.4,13610,21.0,12.0,14.0,130,45,55,17.4,3260,96,4,3.11,17.5,7226000,4,Southeast
AL,"Dale County, Alabama",17.8,8790,31.0,9.0,15.0,130,54,46,23.2,2640,88,12,3.21,18.12,4830000,4,Southeast
AL,"Dallas County, Alabama",19.0,7430,32.0,,12.0,130,76,24,33.3,3140,60,40,3.16,17.81,4014000,4,Southeast
AL,"DeKalb County, Alabama",17.2,12300,25.0,16.0,14.0,130,60,40,19.4,3390,100,0,3.06,17.26,6439000,6,Southeast
AL,"Elmore County, Alabama",13.9,11280,24.0,15.0,11.0,130,41,59,16.7,3040,74,26,3.4,19.18,6563000,2,Southeast
AL,"Escambia County, Alabama",17.7,6570,34.0,,15.0,130,59,41,24.2,2000,85,16,2.99,16.82,3353000,6,Southeast
AL,"Etowah County, Alabama",16.8,17250,27.0,15.0,14.0,130,53,47,22.4,4960,87,13,3.0,16.92,8851000,3,Southeast
AL,"Fayette County, Alabama",18.8,3090,31.0,,15.0,130,57,43,23.6,820,92,8,3.21,18.1,1697000,6,Southeast
AL,"Franklin County, Alabama",16.3,5130,22.0,13.0,14.0,130,53,47,21.2,1670,100,0,2.82,15.92,2477000,6,Southeast
AL,"Geneva County, Alabama",19.8,5230,28.0,17.0,16.0,130,59,41,24.6,1430,86,14,2.98,16.8,2665000,3,Southeast
AL,"Greene County, Alabama",22.2,1850,32.0,,13.0,130,90,10,37.8,710,68,32,3.37,18.99,1065000,8,Southeast
AL,"Hale County, Alabama",16.9,2510,30.0,,12.0,130,72,28,28.5,980,73,27,3.35,18.86,1436000,3,Southeast
AL,"Henry County, Alabama",14.5,2490,25.0,,11.0,130,50,50,19.8,710,76,24,3.29,18.54,1401000,3,Southeast
AL,"Houston County, Alabama",16.4,17160,30.0,14.0,13.0,130,56,44,22.0,5360,78,22,3.32,18.7,9732000,3,Southeast
AL,"Jackson County, Alabama",18.1,9390,21.0,,15.0,130,57,43,20.6,2270,100,0,2.99,16.86,4801000,6,Southeast
AL,"Jefferson County, Alabama",14.4,94780,26.0,11.0,11.0,130,55,45,20.0,30170,65,35,3.21,18.11,52053000,1,Southeast
AL,"Lamar County, Alabama",18.7,2590,29.0,,16.0,130,58,42,24.4,740,96,4,3.04,17.12,1345000,8,Southeast
AL,"Lauderdale County, Alabama",15.5,14340,28.0,11.0,13.0,130,48,52,17.5,3200,97,3,2.89,16.27,7078000,3,Southeast
AL,"Lawrence County, Alabama",17.7,5850,24.0,,15.0,130,53,47,21.2,1520,93,7,3.04,17.11,3036000,3,Southeast
AL,"Lee County, Alabama",14.9,23990,26.0,10.0,14.0,130,59,41,16.7,5760,81,19,3.47,19.55,14223000,3,Southeast
AL,"Limestone County, Alabama",14.3,13540,20.0,13.0,12.0,130,43,57,16.9,3650,84,16,3.18,17.91,7356000,2,Southeast
AL,"Lowndes County, Alabama",19.3,1940,29.0,,10.0,130,81,19,33.4,760,64,36,3.29,18.51,1089000,2,Southeast
AL,"Macon County, Alabama",15.4,2890,27.0,,15.0,130,69,31,29.8,970,49,51,3.25,18.31,1605000,6,Southeast
AL,"Madison County, Alabama",13.0,47180,25.0,14.0,10.0,130,44,56,15.9,12650,69,31,3.16,17.82,25506000,2,Southeast
AL,"Marengo County, Alabama",17.3,3350,27.0,,14.0,130,66,35,26.4,1160,64,36,3.01,16.97,1724000,7,Southeast
AL,"Marion County, Alabama",19.2,5730,43.0,13.0,15.0,130,53,47,22.2,1390,90,10,2.98,16.81,2921000,7,Southeast
AL,"Marshall County, Alabama",17.1,16380,29.0,14.0,14.0,130,54,46,20.0,4780,100,0,2.87,16.17,8035000,4,Southeast
AL,"Mobile County, Alabama",15.8,65300,28.0,14.0,12.0,130,57,43,22.4,21890,71,29,3.24,18.25,36157000,2,Southeast
AL,"Monroe County, Alabama",19.9,4240,39.0,,15.0,130,63,37,26.3,1250,65,36,3.0,16.93,2178000,7,Southeast
AL,"Montgomery County, Alabama",15.0,34010,26.0,16.0,10.0,130,62,38,24.0,12810,58,42,3.24,18.26,18839000,2,Southeast
AL,"Morgan County, Alabama",15.0,17850,29.0,14.0,12.0,130,50,51,17.8,4880,95,5,3.08,17.36,9401000,3,Southeast
AL,"Perry County, Alabama",20.1,1870,28.0,,18.0,130,80,20,33.5,670,67,33,3.31,18.63,1057000,8,Southeast
AL,"Pickens County, Alabama",17.8,3610,32.0,,12.0,130,61,39,28.7,1160,66,34,3.38,19.04,2085000,3,Southeast
AL,"Pike County, Alabama",16.9,5640,30.0,,14.0,130,63,37,23.7,1530,75,25,3.4,19.14,3275000,6,Southeast
AL,"Randolph County, Alabama",15.5,3520,23.0,,13.0,130,53,47,21.7,1060,87,13,2.94,16.58,1770000,6,Southeast
